time_s,integral,shift,assignment,experiment,ISTD_mg_mL,ISTD
4295,190.348,2.626463,SM_B,AH-01-15zg2d,22.45,958.602
4355,186.581,2.626463,SM_B,AH-01-15zg2d,22.45,960.095
4415,187.174,2.626463,SM_B,AH-01-15zg2d,22.45,960.85
4475,179.843,2.626463,SM_B,AH-01-15zg2d,22.45,967.188
4535,181.513,2.626463,SM_B,AH-01-15zg2d,22.45,956.041
4595,178.406,2.626463,SM_B,AH-01-15zg2d,22.45,961.197
4655,176.808,2.626463,SM_B,AH-01-15zg2d,22.45,963.485
4715,176.927,2.626463,SM_B,AH-01-15zg2d,22.45,959.514
4775,173.006,2.626463,SM_B,AH-01-15zg2d,22.45,966.937
4835,172.848,2.626463,SM_B,AH-01-15zg2d,22.45,965.258
4895,168.996,2.626463,SM_B,AH-01-15zg2d,22.45,964.807
4955,170.181,2.626463,SM_B,AH-01-15zg2d,22.45,957.096
5015,168.036,2.626463,SM_B,AH-01-15zg2d,22.45,963.635
5075,163.956,2.626463,SM_B,AH-01-15zg2d,22.45,968.022
5135,163.646,2.626463,SM_B,AH-01-15zg2d,22.45,967.934
5195,161.984,2.626463,SM_B,AH-01-15zg2d,22.45,956.527
5255,159.829,2.626463,SM_B,AH-01-15zg2d,22.45,964.428
5315,160.16,2.626463,SM_B,AH-01-15zg2d,22.45,961.076
5375,155.636,2.626463,SM_B,AH-01-15zg2d,22.45,964.05
5435,151.653,2.626463,SM_B,AH-01-15zg2d,22.45,970.574
5495,153.988,2.626463,SM_B,AH-01-15zg2d,22.45,955.807
5555,151.78,2.626463,SM_B,AH-01-15zg2d,22.45,952.9
5615,150.204,2.626463,SM_B,AH-01-15zg2d,22.45,971.557
5675,145.913,2.626463,SM_B,AH-01-15zg2d,22.45,974.916
5735,147.368,2.626463,SM_B,AH-01-15zg2d,22.45,969.569
5795,145.792,2.626463,SM_B,AH-01-15zg2d,22.45,973.419
5855,144.479,2.626463,SM_B,AH-01-15zg2d,22.45,966.184
5915,144.186,2.626463,SM_B,AH-01-15zg2d,22.45,963.864
5975,142.475,2.626463,SM_B,AH-01-15zg2d,22.45,964.469
6035,138.329,2.626463,SM_B,AH-01-15zg2d,22.45,964.927
6095,138.147,2.626463,SM_B,AH-01-15zg2d,22.45,972.74
6155,138.591,2.626463,SM_B,AH-01-15zg2d,22.45,958.644
6215,136.414,2.626463,SM_B,AH-01-15zg2d,22.45,973.456
6275,133.56,2.626463,SM_B,AH-01-15zg2d,22.45,966.025
6335,130.53,2.626463,SM_B,AH-01-15zg2d,22.45,971.468
6395,130.146,2.626463,SM_B,AH-01-15zg2d,22.45,977.436
6455,128.182,2.626463,SM_B,AH-01-15zg2d,22.45,969.696
6515,127.895,2.626463,SM_B,AH-01-15zg2d,22.45,968.772
6575,127.287,2.626463,SM_B,AH-01-15zg2d,22.45,966.148
6635,124.623,2.626463,SM_B,AH-01-15zg2d,22.45,961.051
6695,124.971,2.626463,SM_B,AH-01-15zg2d,22.45,966.617
6755,122.16,2.626463,SM_B,AH-01-15zg2d,22.45,969.268
6815,121.521,2.626463,SM_B,AH-01-15zg2d,22.45,970.827
6875,123.31,2.626463,SM_B,AH-01-15zg2d,22.45,958.329
6935,119.574,2.626463,SM_B,AH-01-15zg2d,22.45,958.036
6995,118.227,2.626463,SM_B,AH-01-15zg2d,22.45,956.815
7055,116.217,2.626463,SM_B,AH-01-15zg2d,22.45,964.655
7115,115.418,2.626463,SM_B,AH-01-15zg2d,22.45,968.964
7175,113.997,2.626463,SM_B,AH-01-15zg2d,22.45,976.394
7235,113.212,2.626463,SM_B,AH-01-15zg2d,22.45,960.642
7295,110.944,2.626463,SM_B,AH-01-15zg2d,22.45,963.664
7355,111.771,2.626463,SM_B,AH-01-15zg2d,22.45,963.498
7415,109.169,2.626463,SM_B,AH-01-15zg2d,22.45,965.864
7475,108.729,2.626463,SM_B,AH-01-15zg2d,22.45,954.964
7535,105.314,2.626463,SM_B,AH-01-15zg2d,22.45,968.328
